행정구역별,연령별,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자
인천광역시,80 - 84세,4023,8271,5825,12524,7559,17775,11836,24196,13348,26184,14539,27445,16003,29093,17580,30948,18501,32039
인천광역시,85세이상,1559,4775,2447,6839,4334,11975,6242,18775,6674,20071,7254,21771,7947,23531,8853,25751,9995,28308
광주광역시,0 - 4세,53894,49419,40877,37815,37690,35324,35204,33020,34232,32396,32071,30319,30351,28766,28386,26826,25580,24581
광주광역시,5 - 9세,57964,52456,56457,51864,42791,39497,38605,35970,38669,36059,38125,35595,37429,35032,37069,34906,36580,34259
광주광역시,10 - 14세,49552,46377,60802,55781,59228,54657,43636,40258,40840,37558,40081,36843,38907,36072,38032,35400,38149,35605
광주광역시,15 - 19세,64443,61279,53578,50708,62759,57851,58626,54759,55626,52533,52426,49548,49482,46509,46731,43971,42398,39379
광주광역시,20 - 24세,66716,65825,65974,63920,53053,51022,60865,57369,61847,57334,62113,57254,61702,56934,60731,56963,59055,54797
광주광역시,25 - 29세,63148,63704,58587,59007,56666,56373,48775,45346,48861,44949,50937,46108,52939,47330,55536,49064,56242,50724
광주광역시,30 - 34세,60094,59191,60532,61629,56845,57861,56574,53732,53030,50227,49153,46273,46229,43442,45097,42077,44639,41470
광주광역시,35 - 39세,58493,58493,60756,62211,62120,64032,59316,58496,58976,58682,59325,58834,59291,58308,57516,55845,54072,52148
광주광역시,40 - 44세,54759,55566,59187,59364,63159,64368,66368,65770,63576,62909,61443,60944,59064,58457,57481,57377,57375,57725
광주광역시,45 - 49세,39137,39427,53730,54949,59135,59639,65889,65157,67154,66996,67815,67579,66705,66660,66538,66535,64319,64641
광주광역시,50 - 54세,32830,32549,37006,37874,51876,53708,59081,58415,59303,58144,59695,58925,60588,60428,62354,62244,63089,62989
광주광역시,55 - 59세,24515,24462,30905,31924,35647,37361,51584,53005,54780,56340,55781,57122,57147,57934,56861,57250,55684,55989
광주광역시,60 - 64세,19672,21561,22994,24033,28948,31396,34236,36617,36728,38810,38949,41020,41772,43992,45158,47462,48116,50459
광주광역시,65 - 69세,13175,17125,17862,21282,21725,24727,27276,30099,28020,31271,28669,31861,28732,32120,29249,32535,31439,35078
광주광역시,70 - 74세,7843,12964,11614,16753,16175,21344,20395,24704,20774,24581,20888,24662,21911,25889,23388,27660,24490,28861
광주광역시,75 - 79세,4357,8965,6308,11701,9710,16036,13011,19140,14244,20532,16167,22342,16788,22794,17076,22913,17529,23132
광주광역시,80 - 84세,1817,5025,2883,7139,4588,9914,6399,12515,7177,13910,7798,14473,8630,15462,9477,16115,10132,16992
광주광역시,85세이상,757,3394,1213,4425,2046,6872,3027,9642,3466,11023,3686,11348,4061,12235,4607,13300,5252,14604
대전광역시,0 - 4세,50841,46261,40019,36940,37100,34884,36522,34480,35442,33181,33069,31165,30594,28802,28033,26483,25091,23784
대전광역시,5 - 9세,57661,50751,53538,49086,41387,38346,37564,35535,37439,35346,36547,34353,35427,33463,34651,32796,34063,32302
대전광역시,10 - 14세,52464,45651,59218,52711,54688,50250,41381,38136,38839,35761,37702,35236,36792,34264,35528,33215,35265,33268
대전광역시,15 - 19세,63570,58507,56760,49979,63941,56267,58503,53275,56028,51146,53119,47810,49889,45466,47490,43138,43616,39958
대전광역시,20 - 24세,65250,62586,66693,62891,61781,53672,69006,60327,69372,60799,68272,61228,67257,59861,65124,59238,63832,59404
대전광역시,25 - 29세,63248,62096,59210,58515,58900,55715,55473,47487,56827,47747,58575,48966,59465,49673,60580,50585,61378,51824
대전광역시,30 - 34세,60197,61194,62695,63578,57230,58098,57146,54750,54786,51414,51950,48005,49924,45327,49344,43639,49509,43117
대전광역시,35 - 39세,63076,63390,62656,64312,64155,64862,58510,58566,58980,58631,58975,58283,58223,56972,55973,54160,52723,50740
대전광역시,40 - 44세,61853,60855,62998,63882,64284,65637,65652,65533,62183,62252,59653,60310,56910,57335,54900,55397,54504,55299
대전광역시,45 - 49세,45365,42423,59997,60045,62446,63245,66027,66412,67626,68542,67710,68158,66216,66547,64766,64706,62357,62774
대전광역시,50 - 54세,33345,31114,42681,41175,57176,57713,62074,61988,59524,58808,58423,58107,59413,60060,61470,62267,62086,62586
대전광역시,55 - 59세,24408,24281,31131,30259,39581,39580,56067,56770,58831,60174,59704,61236,59583,61019,58710,59712,57176,57972
대전광역시,60 - 64세,19288,21277,22742,23935,28789,29416,37934,38971,41679,42915,44318,45374,47003,48513,49170,50878,51199,53465
대전광역시,65 - 69세,13137,17063,17594,21249,21049,24055,27093,28592,28014,29720,29617,31245,30195,31927,31696,33884,34483,36953
대전광역시,70 - 74세,7744,12696,11744,16753,15974,20981,19937,23966,20176,23667,20060,23385,21292,24317,22645,25400,24107,27152
